record,grupo,duracion_h,fs,n_qrs,fc_mediana_lpm,rr_mediano_s,rr_std_s,n_outliers_rango,n_outliers_malik,n_outliers_mediana,n_outliers_total,pct_outliers,qrs_sens_pct,qrs_prec_pct,qrs_tp,qrs_fp,qrs_fn,procesado_ok,error,tiempo_s
a01,apnea,8.213888888888889,100,29939,60.60606060606061,0.99,0.15770636268905122,0,619,100,619,2.0676063865321663,100.0,99.99665987507933,29938,1,0,True,,3.438309669494629
a02,apnea,8.838888888888889,100,42235,81.08108108108108,0.74,0.0601059806044428,277,1172,961,1343,3.1799024482644316,99.08631746211907,82.68024150586007,34920,7315,322,True,,4.939773321151733
a03,apnea,8.708333333333334,100,34116,67.41573033707866,0.89,0.14708192775433968,24,655,329,670,1.9639454785285064,99.52129367465483,99.93844530425606,34095,21,164,True,,4.005876541137695
a04,apnea,8.277777777777779,100,31237,62.5,0.96,0.11437975802638128,22,246,160,267,0.8547829427583558,99.82075985020644,99.83993341229952,31187,50,56,True,,3.566974639892578
a05,apnea,7.554166666666666,100,28760,63.15789473684211,0.95,0.08411779257070398,5,29,12,29,0.10083799853958761,99.82278129126416,99.88525730180807,28727,33,51,True,,3.1991922855377197
a06,apnea,8.494444444444444,100,30962,60.60606060606061,0.99,0.08051168451770602,45,363,183,380,1.2273505377733278,99.72506323545585,87.86254117951037,27204,3758,75,True,,3.3908090591430664
a07,apnea,8.501388888888888,100,37473,72.28915662650603,0.83,0.11829234900555921,2,1049,223,1074,2.8661400512382578,99.94129889535193,99.95463400314894,37456,17,22,True,,4.415888547897339
a08,apnea,8.340277777777779,100,41135,82.19178082191782,0.73,0.05695695094998001,3,251,49,253,0.615062964943842,99.88820026734719,99.91248328673879,41099,36,46,True,,5.179412841796875
a09,apnea,8.3,100,31566,63.829787234042556,0.94,0.05448956302519777,6,215,124,215,0.6811341675906859,99.9968307292492,99.95564848254452,31552,14,1,True,,3.64717960357666
a10,apnea,8.615277777777777,100,32190,62.5,0.96,0.08093778887403348,26,126,79,134,0.41629127962968715,99.6006810091317,99.9565082323703,32176,14,129,True,,3.711350440979004
a11,apnea,7.8,100,33194,70.58823529411765,0.85,0.0565689088532007,17,126,72,144,0.43382640918265897,99.85238740774213,99.85539555341326,33146,48,49,True,,3.837620735168457
a12,apnea,9.616666666666667,100,28086,61.855670103092784,0.97,0.1265792920058071,2364,5016,4348,5830,20.75841196368168,81.65880966411314,98.67905718151391,27715,371,6225,True,,3.4607303142547607
a13,apnea,8.2375,100,39777,81.08108108108108,0.74,0.07485893393617371,3,373,91,374,0.9402654867256637,99.80146763168476,99.83910299922066,39713,64,79,True,,5.0141682624816895
a14,apnea,8.708333333333334,100,29019,54.794520547945204,1.095,0.16136031654623137,4,876,159,882,3.039492728651182,99.99655386311944,99.99310796374789,29017,2,1,True,,3.3223094940185547
a15,apnea,8.488888888888889,100,33967,66.66666666666667,0.9,0.10189959315497849,12,125,50,131,0.3856797974445033,99.81757730897107,99.87635057555863,33925,42,62,True,,3.9528329372406006
a16,apnea,8.022222222222222,100,34925,73.17073170731707,0.82,0.10092989575198213,15,247,44,255,0.7301569121521017,99.78832346463,99.88546886184682,34885,40,74,True,,4.015319108963013
a17,apnea,8.068055555555556,100,28259,77.92207792207792,0.77,0.0744907799368573,29,159,63,164,0.5803666218416024,75.89581905414667,97.96171131320996,27683,576,8792,True,,3.6515724658966064
a18,apnea,8.213888888888889,100,30270,61.224489795918366,0.98,0.0520129196529481,8,180,127,190,0.6277049126168688,99.98347325973424,99.93062438057483,30249,21,5,True,,3.4712347984313965
a19,apnea,8.366666666666667,100,38768,77.92207792207792,0.77,0.042899584459627,5,19,12,20,0.051590270075063845,99.95100061893955,99.97162608336772,38757,11,19,True,,4.810165166854858
a20,apnea,8.5,100,31512,67.41573033707866,0.89,0.07406577295395775,242,782,670,909,2.8847069277395194,89.61686823863802,98.05470931708555,30899,613,3580,True,,3.834105968475342
b01,borderline,8.102777777777778,100,35110,73.17073170731707,0.82,0.09290244274939898,22,214,64,225,0.6408613176108691,99.90598290598291,99.87752776986613,35067,43,33,True,,4.113261938095093
b02,borderline,8.806944444444444,100,30520,66.66666666666667,0.9,0.07221866011960251,957,3129,3270,4058,13.296634883187522,86.07187252796926,99.82306684141547,30466,54,4930,True,,3.805736541748047
b03,borderline,7.341666666666667,100,6772,69.76744186046511,0.86,0.08292292389453228,88,239,216,278,4.105745089351647,22.826497988930523,98.0507974010632,6640,132,22449,True,,1.3027329444885254
b04,borderline,7.147222222222222,100,19661,60.0,1.0,0.14106906142510253,596,1086,752,1276,6.490335707019328,72.59344955519208,92.55378668429887,18197,1464,6870,True,,2.151512861251831
b05,borderline,7.204166666666667,100,25730,65.93406593406593,0.91,0.14472239041136292,1376,5697,3668,6242,24.26056201173773,78.42001226910232,89.42868247182277,23010,2720,6332,True,,2.9173290729522705
c01,control,8.052777777777777,100,27739,58.252427184466015,1.03,0.10538184845751734,31,514,82,524,1.889105198644459,99.18194539126691,99.65391686794766,27643,96,228,True,,3.1184825897216797
c02,control,8.352777777777778,100,32212,65.21739130434783,0.92,0.06673860836212883,47,193,150,228,0.7078327279500791,99.68653983426957,99.71439215199305,32120,92,101,True,,3.632225513458252
c03,control,7.555555555555555,100,23775,52.631578947368425,1.14,0.14864572019566943,7,1832,797,1890,7.949861192899807,99.92428385142809,99.91587802313354,23755,20,18,True,,2.514068841934204
c04,control,8.019444444444444,100,28146,59.80066445182724,1.0033333333333334,0.0986615327110696,45,13503,10769,14518,51.58287440042636,98.38698365944316,99.68734456050593,28058,88,460,True,,3.065507173538208
c05,control,7.758333333333334,100,28135,60.60606060606061,0.99,0.0993624746444452,74,447,257,484,1.7203383806070947,99.5154106538393,99.26781588768438,27929,206,136,True,,3.1355197429656982
c06,control,7.788888888888889,100,28243,60.60606060606061,0.99,0.09981121897920206,79,473,280,517,1.8306068975285037,99.45694612053666,99.21396452218248,28021,222,153,True,,3.269949197769165
c07,control,7.136111111111111,100,31535,74.07407407407408,0.81,0.07387195114522167,159,557,476,647,2.0517536627132618,98.18278493681973,99.54336451561757,31391,144,581,True,,3.578885555267334
c08,control,8.566666666666666,100,31366,60.0,1.0,0.1382086846834444,451,1352,967,1555,4.95775545990754,97.98631728410999,96.8054581393866,30364,1002,624,True,,3.567755699157715
c09,control,7.791666666666667,100,31228,68.18181818181819,0.88,0.07000547817665036,25,108,74,121,0.387485189099177,99.84946512074819,99.83028051748431,31175,53,47,True,,3.4905595779418945
c10,control,7.180555555555555,100,24158,56.074766355140184,1.07,0.10815964591318465,93,351,200,388,1.606159705261415,99.8627344952373,99.3790876728206,24008,150,33,True,,2.46475887298584
x01,test,8.713888888888889,100,36481,71.42857142857143,0.84,0.09912535568595557,3,276,55,286,0.7839912280701754,99.95338378852693,99.91776541213234,36451,30,17,True,,4.32743501663208
x02,test,7.8694444444444445,100,39725,84.50704225352113,0.71,0.08794187055380964,59,183,120,201,0.5059913402477092,99.78579168871752,99.67526746381373,39596,129,85,True,,4.832682847976685
x03,test,7.75,100,33476,72.28915662650603,0.83,0.08815900340578825,7,162,29,170,0.5078416728902165,99.90143074763284,99.91038355837017,33446,30,33,True,,3.8289635181427
x04,test,8.030555555555555,100,25529,54.54545454545454,1.1,0.1431621864875595,55,1904,836,1960,7.6778439360701976,99.6437101131514,99.69054800423048,25450,79,91,True,,2.7021210193634033
x05,test,8.408333333333333,100,35430,70.58823529411765,0.85,0.06529300947782221,4,67,21,69,0.1947557086002992,99.86737400530504,99.88992379339543,35391,39,47,True,,4.159380912780762
x06,test,7.491666666666666,100,22237,49.18032786885246,1.22,0.12612320373576305,44,267,132,290,1.3041914013311746,99.84219306551242,99.58177811755183,22144,93,35,True,,2.22631573677063
